Iteration 320:       Mapping:     0.8492     (avg:     1.1651 )    Adversary:     0.8104     (avg:     0.6814 ) loss_classification:     0.3156 avg:     0.8140 accuracy :     0.9453 (avg:     0.8635 )
Iteration 330:       Mapping:     0.9231     (avg:     1.1583 )    Adversary:     0.7890     (avg:     0.6835 ) loss_classification:     0.7183 avg:     0.8066 accuracy :     0.9219 (avg:     0.8654 )
Iteration 340:       Mapping:     0.9861     (avg:     1.1529 )    Adversary:     0.7289     (avg:     0.6856 ) loss_classification:     0.9115 avg:     0.7995 accuracy :     0.8828 (avg:     0.8669 )
Iteration 350:       Mapping:     0.9254     (avg:     1.1466 )    Adversary:     0.7590     (avg:     0.6878 ) loss_classification:     0.5657 avg:     0.7901 accuracy :     0.9219 (avg:     0.8686 )
Iteration 360:       Mapping:     0.9128     (avg:     1.1412 )    Adversary:     0.7664     (avg:     0.6891 ) loss_classification:     0.6431 avg:     0.7846 accuracy :     0.9141 (avg:     0.8701 )
Iteration 370:       Mapping:     0.8856     (avg:     1.1359 )    Adversary:     0.7624     (avg:     0.6900 ) loss_classification:     0.6129 avg:     0.7778 accuracy :     0.9297 (avg:     0.8714 )
Iteration 380:       Mapping:     0.9446     (avg:     1.1302 )    Adversary:     0.7361     (avg:     0.6914 ) loss_classification:     0.6092 avg:     0.7706 accuracy :     0.9219 (avg:     0.8730 )
Iteration 390:       Mapping:     0.8547     (avg:     1.1252 )    Adversary:     0.7928     (avg:     0.6925 ) loss_classification:     0.1734 avg:     0.7623 accuracy :     0.9609 (avg:     0.8744 )
Iteration 400:       Mapping:     0.9180     (avg:     1.1202 )    Adversary:     0.7438     (avg:     0.6934 ) loss_classification:     0.4161 avg:     0.7559 accuracy :     0.9297 (avg:     0.8758 )
Iteration 410:       Mapping:     0.9279     (avg:     1.1152 )    Adversary:     0.7252     (avg:     0.6947 ) loss_classification:     0.3909 avg:     0.7505 accuracy :     0.9531 (avg:     0.8770 )
Iteration 420:       Mapping:     0.8799     (avg:     1.1106 )    Adversary:     0.7294     (avg:     0.6958 ) loss_classification:     0.4500 avg:     0.7440 accuracy :     0.9297 (avg:     0.8782 )
Iteration 430:       Mapping:     0.9134     (avg:     1.1063 )    Adversary:     0.7163     (avg:     0.6964 ) loss_classification:     0.4225 avg:     0.7382 accuracy :     0.9531 (avg:     0.8795 )
Iteration 440:       Mapping:     0.9739     (avg:     1.1019 )    Adversary:     0.6757     (avg:     0.6972 ) loss_classification:     0.6468 avg:     0.7315 accuracy :     0.9062 (avg:     0.8806 )
Iteration 450:       Mapping:     0.8990     (avg:     1.0965 )    Adversary:     0.7598     (avg:     0.6964 ) loss_classification:     0.5520 avg:     0.7245 accuracy :     0.9297 (avg:     0.8820 )
Iteration 460:       Mapping:     0.8962     (avg:     1.0921 )    Adversary:     0.7313     (avg:     0.6975 ) loss_classification:     0.4884 avg:     0.6997 accuracy :     0.9062 (avg:     0.8864 )
Iteration 470:       Mapping:     0.9664     (avg:     1.0843 )    Adversary:     0.7449     (avg:     0.7004 ) loss_classification:     0.5301 avg:     0.6784 accuracy :     0.8984 (avg:     0.8906 )
Iteration 480:       Mapping:     0.8934     (avg:     1.0730 )    Adversary:     0.7552     (avg:     0.7044 ) loss_classification:     0.7369 avg:     0.6631 accuracy :     0.9141 (avg:     0.8941 )
Iteration 490:       Mapping:     0.9109     (avg:     1.0628 )    Adversary:     0.6925     (avg:     0.7085 ) loss_classification:     0.5130 avg:     0.6494 accuracy :     0.9297 (avg:     0.8976 )
Iteration 500:       Mapping:     0.9112     (avg:     1.0526 )    Adversary:     0.7349     (avg:     0.7128 ) loss_classification:     0.2969 avg:     0.6368 accuracy :     0.9453 (avg:     0.9007 )
Iteration 510:       Mapping:     0.9250     (avg:     1.0436 )    Adversary:     0.7332     (avg:     0.7157 ) loss_classification:     0.3687 avg:     0.6278 accuracy :     0.9453 (avg:     0.9033 )
Iteration 520:       Mapping:     0.9626     (avg:     1.0317 )    Adversary:     0.7018     (avg:     0.7201 ) loss_classification:     0.4569 avg:     0.6158 accuracy :     0.9297 (avg:     0.9063 )
Iteration 530:       Mapping:     0.8980     (avg:     1.0232 )    Adversary:     0.7457     (avg:     0.7228 ) loss_classification:     0.6056 avg:     0.6090 accuracy :     0.9219 (avg:     0.9087 )
Iteration 540:       Mapping:     0.8985     (avg:     1.0134 )    Adversary:     0.7199     (avg:     0.7262 ) loss_classification:     0.1711 avg:     0.5983 accuracy :     0.9688 (avg:     0.9110 )
Iteration 550:       Mapping:     0.9319     (avg:     1.0041 )    Adversary:     0.7284     (avg:     0.7294 ) loss_classification:     0.4225 avg:     0.5865 accuracy :     0.9141 (avg:     0.9132 )
